dataset,location,model_type,model_label,seed,split_seed,best_epoch,mean_mae_cm,mean_rmse_cm,mean_csi,mean_pod,mean_far,persistence_mean_mae_cm,persistence_mean_rmse_cm,persistence_mean_csi,mae_reduction_pct,rmse_reduction_pct,csi_gain,parameter_count,latency_ms_per_sample,peak_cuda_memory_mb,runtime_sec,train_samples,validation_samples,test_samples,metrics_path
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,9,1.7763452541369946,6.718730242189914,0.7797099550081502,0.8278268002578523,0.07659255288116035,2.2525733826510215,9.12893214328433,0.688647830453917,21.141514508777547,26.40179446253714,0.09106212455423324,9412,3.922602499369532,199.37890625,35.80553317070007,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_2026/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,1.767312109725919,6.862542519989245,0.7735165489068607,0.8081609449284659,0.06001789027983721,2.2525733826510215,9.12893214328433,0.688647830453917,21.542528943230494,24.826448348204085,0.08486871845294375,9412,3.980572499858681,199.37890625,36.14026737213135,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_42/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,2,1.9158666621255267,7.263556462206888,0.7515791469279237,0.7844835840821408,0.06139266176673262,2.2525733826510215,9.12893214328433,0.688647830453917,14.94764712744805,20.4336679449381,0.06293131647400674,9412,4.084595000313129,199.37890625,35.75508642196655,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_44/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,9,1.8039273693698354,7.075770026632367,0.7476995725430629,0.7795982419981298,0.06156791886244347,2.2525733826510215,9.12893214328433,0.688647830453917,19.917043179884374,22.490715063123396,0.059051742089145876,9412,3.805250000732485,199.37890625,35.75687885284424,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_52/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,9,1.7115532656807186,6.272658266727674,0.7935456959438061,0.8479270120448169,0.08059133210424961,2.2525733826510215,9.12893214328433,0.688647830453917,24.01786868020184,31.288148840692877,0.10489786548988911,9412,3.8828749995445833,199.37890625,35.742563247680664,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_77/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,2026,44,10,1.769667883994583,6.930908094902126,0.771763728809409,0.82190844838757,0.0811555197735395,2.2525733826510215,9.12893214328433,0.688647830453917,21.437947477125647,24.07755927947359,0.08311589835549205,22084,1.5387475010356866,23.41845703125,21.910391330718994,234,52,312,larno_ukea/ukea/convlstm/seed_2026/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,42,44,9,1.703255934791476,6.386665576402129,0.7883802077474197,0.8652159016513672,0.10656264851321391,2.2525733826510215,9.12893214328433,0.688647830453917,24.386217651789067,30.039291823409375,0.0997323772935027,22084,1.5450974999112077,23.41845703125,22.000325918197632,234,52,312,larno_ukea/ukea/convlstm/seed_42/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,44,44,9,1.7102445049315196,6.862980956744908,0.7600067206172094,0.7929265460318625,0.05970427755671145,2.2525733826510215,9.12893214328433,0.688647830453917,24.07596937335923,24.82164563142647,0.07135889016329244,22084,1.7543125009979121,23.41845703125,21.965989351272583,234,52,312,larno_ukea/ukea/convlstm/seed_44/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,52,44,7,1.7795869058163443,7.088258307150746,0.7536781130913922,0.7825995950123853,0.05432065056960553,2.2525733826510215,9.12893214328433,0.688647830453917,20.997605693006378,22.353916143793427,0.06503028263747523,22084,1.6616150009213015,23.41845703125,21.913392305374146,234,52,312,larno_ukea/ukea/convlstm/seed_52/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,77,44,8,1.611211478117119,6.330864949306273,0.7828357363591231,0.826414789938901,0.06951579062955243,2.2525733826510215,9.12893214328433,0.688647830453917,28.472408911229028,30.650542145134093,0.09418790590520609,22084,1.691502500034403,23.41845703125,21.891711235046387,234,52,312,larno_ukea/ukea/convlstm/seed_77/metrics/test_metrics.json
