dataset,location,model_type,model_label,lead_minutes,threshold_m,seed_count,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,persistence_csi_mean,persistence_csi_std,persistence_pod_mean,persistence_pod_std,persistence_far_mean,persistence_far_std
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.05,5,0.9297722423793511,0.00427362185944518,0.9411453573164803,0.006464846256124695,0.012797599023246682,0.0023927204243049003,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.1,5,0.9211302126309023,0.006311830321316272,0.9300604854145931,0.007494802807602432,0.010295794669029438,0.0014540684413219158,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.2,5,0.9072221218964868,0.00640816014149885,0.9190321279741901,0.008743970392458063,0.013914939598361847,0.0030913819388985577,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,0.3,5,0.896499448167685,0.006967124673679593,0.9106466744848383,0.008686938921702617,0.01698495594449344,0.00419287533820213,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.05,5,0.8218754611036204,0.0072786981159625,0.8698901745610012,0.013280059507341447,0.06271557483583869,0.007768362398152947,0.8116672514269577,0.0,0.820869429755857,0.0,0.013623269792739109,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.1,5,0.8093893587384526,0.012337124469786583,0.8348296852739282,0.014889224743501418,0.036186376269564925,0.003109603684319432,0.7540115883191798,0.0,0.760134697578034,0.0,0.010570325539052886,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.2,5,0.7835935425440146,0.014224223004029627,0.803463405328642,0.015644176040027827,0.030531637581112055,0.003794147583849607,0.6759391846361186,0.0,0.6803662646516458,0.0,0.00953468279437176,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,0.3,5,0.7618210162424484,0.014122216356073622,0.7860252148278242,0.014239251525666956,0.03882422487329539,0.007674364487394281,0.629461632308318,0.0,0.6310606535783729,0.0,0.004009305548680889,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.05,5,0.7350850339652767,0.01076093932671998,0.8145538842575812,0.026196966348092245,0.11610588380924936,0.016388707134304806,0.6993339181373497,0.0,0.7103494623655914,0.0,0.021693237242483804,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.1,5,0.7074700616318379,0.020454852511281083,0.7579765542648452,0.03011166653213224,0.08519177480342534,0.011443754331114895,0.6141999367955335,0.0,0.6208115503785177,0.0,0.017044017735219245,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.2,5,0.6667215054352579,0.023110297915015173,0.6976403163320847,0.027929115344491866,0.061841760250783355,0.00772709391064343,0.5045513654096229,0.0,0.5093330771939936,0.0,0.0182670945445569,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,0.3,5,0.647950622793976,0.02362078244809802,0.6738109572546658,0.024585464935891695,0.05589153634506093,0.010570933116221337,0.44571619068785423,0.0,0.4471871028162419,0.0,0.007325644706231748,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.05,5,0.6781288424415249,0.020840638767712357,0.7943993469387756,0.045301007803671675,0.17526298311286237,0.019250127264630292,0.595591200322595,0.0,0.60768,0.0,0.032321467569338284,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.1,5,0.63885110246265,0.03144720902688388,0.715530541695758,0.05287237035511244,0.1404559389735189,0.020318940246832118,0.4862776423106029,0.0,0.49242204928222333,0.0,0.025018122966434582,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.2,5,0.5834145454860786,0.040031033931703215,0.6305313965141863,0.053659690943612816,0.1106736586527602,0.016384796528411266,0.3608003835266186,0.0,0.36412123166952737,0.0,0.0246544063194273,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,0.3,5,0.5534963493429126,0.04167202892106708,0.5913489219199812,0.05095015321896492,0.10163786992123605,0.014212041544747086,0.29212463594186777,0.0,0.2931672639680395,0.0,0.012027916646042667,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.05,5,0.929838665314248,0.0013772839222815397,0.9439708313077297,0.004819308266298061,0.015790879161349507,0.005439527281554019,0.9234984825346504,0.0,0.9289936801166747,0.0,0.006364458865004836,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.1,5,0.9188087266550561,0.004479037594908602,0.9282505168057577,0.007076508841321721,0.010905244572610325,0.0028339939051825816,0.9001021543903518,0.0,0.9039889748105046,0.0,0.0047541177065596706,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.2,5,0.9015944443413018,0.005506152046428158,0.912101088856029,0.00981634465721711,0.012507287311198477,0.004954432574458427,0.8660321715817695,0.0,0.8684769458260518,0.0,0.003239940755369045,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,0.3,5,0.8914629559425086,0.00523296889966152,0.9030658401742335,0.010337859811223373,0.014067411037660637,0.006072694482073361,0.8437696072280085,0.0,0.8448651365387837,0.0,0.0015344255803593527,0.0
