dataset,location,model_type,model_label,lead_minutes,seed_count,mae_cm_mean,mae_cm_std,rmse_cm_mean,rmse_cm_std,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,mae_reduction_pct_mean,mae_reduction_pct_std,rmse_reduction_pct_mean,rmse_reduction_pct_std,csi_gain_mean,csi_gain_std,persistence_mae_cm_mean,persistence_mae_cm_std,persistence_rmse_cm_mean,persistence_rmse_cm_std,persistence_csi_mean,persistence_csi_std
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,5,0.36097585163548973,0.02228950991393249,1.5746609452022184,0.04272699769880503,0.9211302126309023,0.006311830321316272,0.9300604854145931,0.007494802807602432,0.010295794669029438,0.0014540684413219158,6.520505078067704,5.772164867459957,20.764483513982963,2.1499839320184004,0.021028058240550495,0.006311830321316272,0.3861551155544349,0.0,1.987317070723082,0.0,0.9001021543903518,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,5,1.0362722110509905,0.033730585681836664,4.466336533053896,0.09292143137851049,0.8093893587384526,0.012337124469786583,0.8348296852739282,0.014889224743501418,0.036186376269564925,0.003109603684319432,13.595407969027788,2.812463234779766,21.836659494805662,1.6261760454719676,0.05537777041927287,0.012337124469786583,1.1993253908073924,0.0,5.714106516157772,0.0,0.7540115883191798,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,5,2.0256278476415943,0.05799535554890319,8.082562676865368,0.31610217009340497,0.7074700616318379,0.020454852511281083,0.7579765542648452,0.03011166653213224,0.08519177480342534,0.011443754331114895,19.413006617876192,2.307270478757912,24.02012546693921,2.971508441508273,0.0932701248363044,0.020454852511281083,2.5135915395634165,0.0,10.637767864894853,0.0,0.6141999367955335,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,5,3.7571278185031205,0.1665850178082171,13.231045859075385,0.925482483345983,0.63885110246265,0.03144720902688388,0.715530541695758,0.05287237035511244,0.1404559389735189,0.020318940246832118,23.49911666122284,3.3919263940325135,27.208104763113194,5.091632565469957,0.1525734601520471,0.03144720902688388,4.911221484678842,0.0,18.176537121361612,0.0,0.4862776423106029,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,5,0.3376168075099032,0.007004477714609592,1.58895521253233,0.06396554978443071,0.9188087266550561,0.004479037594908602,0.9282505168057577,0.007076508841321721,0.010905244572610325,0.0028339939051825816,12.569640046032074,1.8139026086842547,20.04520889290246,3.2186886897296643,0.01870657226470431,0.004479037594908602,0.3861551155544349,0.0,1.987317070723082,0.0,0.9001021543903518,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,15,5,0.9855983305612027,0.028075549846676255,4.402351768390324,0.20511729258068487,0.8074127178201127,0.011259476020953101,0.8370573759875664,0.01816137409925562,0.041655608664714995,0.008058562988384305,17.820606641397585,2.3409451731673623,22.95642799199141,3.58966519088636,0.05340112950093288,0.011259476020953101,1.1993253908073924,0.0,5.714106516157772,0.0,0.7540115883191798,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,30,5,1.9465717584889017,0.06936315084276233,7.93509948403041,0.3825661320738313,0.7138538731242504,0.020337413688686176,0.7701168027768609,0.039941968894451986,0.09025374761967755,0.024761616756829967,22.55815124095301,2.7595235642307236,25.406348542191633,3.5963008117174473,0.09965393632871684,0.020337413688686176,2.5135915395634165,0.0,10.637767864894853,0.0,0.6141999367955335,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,60,5,3.5893864695608255,0.14673676970744626,12.953335842651882,0.6223515127988328,0.6452562877002235,0.019164417655073842,0.735827529247484,0.05366555175738125,0.1541925087770954,0.04024566932386019,26.914587730193865,2.987785628589745,28.735953629865325,3.4239278287360175,0.1589786453896206,0.019164417655073842,4.911221484678842,0.0,18.176537121361612,0.0,0.4862776423106029,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,5,0.36548389193757136,0.01399482155902818,1.7104453399594488,0.08364057394597198,0.914900428328049,0.004573031979864892,0.9230441773217977,0.007946014583219689,0.00948225874745447,0.004127260578438385,5.353088120348765,3.624145063813193,13.93193541395455,4.20871813452191,0.014798273937697193,0.004573031979864892,0.3861551155544349,0.0,1.987317070723082,0.0,0.9001021543903518,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,5,1.0808288740628527,0.045826573863809845,4.737931640021918,0.14311317291796097,0.8006641675267218,0.008080704802508132,0.8267271078875793,0.01930441424954367,0.03719867343023229,0.013890276688747562,9.88026415956784,3.8210292398595134,17.083596068353394,2.5045590682161776,0.046652579207541955,0.008080704802508132,1.1993253908073924,0.0,5.714106516157772,0.0,0.7540115883191798,0.0
