dataset,location,model_type,model_label,seed,split_seed,lead_steps,lead_minutes,mae_cm,rmse_cm,wet_mae_cm,peak_depth_mae_cm,csi,pod,far,persistence_mae_cm,persistence_rmse_cm,persistence_csi,persistence_pod,persistence_far,mae_reduction_pct,rmse_reduction_pct,csi_gain
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,1,5,0.35121262925077257,1.595292171366281,3.3200494605406403,2.3796851627337627,0.9239026609051626,0.9330985376311155,0.010554346767122398,0.3861551155544349,1.987317070723082,0.9001021543903518,0.9039889748105046,0.0047541177065596706,9.048821288691848,19.72633884809148,0.023800506514810804
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,3,15,1.0382724144244688,4.472021195656279,8.960060531034895,6.770880434375543,0.8145526401360714,0.843543582437508,0.04048439847962521,1.1993253908073924,5.714106516157772,0.7540115883191798,0.760134697578034,0.010570325539052886,13.42863059661414,21.73717477945588,0.06054105181689162
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,6,30,2.0213300846380595,8.001211036125307,15.18329357801881,12.356214129771942,0.7174418718776684,0.7783089683663582,0.0982902819924506,2.5135915395634165,10.637767864894853,0.6141999367955335,0.6208115503785177,0.017044017735219245,19.583987580211918,24.78486898995334,0.10324193508213486
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,12,60,3.6945658882346772,12.806396565611788,23.11800565762367,19.245465309956135,0.6629426471136983,0.7563561125964273,0.15704118428544317,4.911221484678842,18.176537121361612,0.4862776423106029,0.49242204928222333,0.025018122966434582,24.77297349019325,29.54435446033708,0.17666500480309544
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,1,5,0.34969216941632675,1.522508681255469,3.1492168653233565,2.2152299491258765,0.9265019915491678,0.9367736007962637,0.011696284329563813,0.3861551155544349,1.987317070723082,0.9001021543903518,0.9039889748105046,0.0047541177065596706,9.442564572983905,23.38873833044132,0.026399837158815997
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,3,15,1.0062918019861777,4.420178140496507,8.76405781388028,6.566781149460719,0.8166421485421146,0.8412122782023054,0.03453094109077936,1.1993253908073924,5.714106516157772,0.7540115883191798,0.760134697578034,0.010570325539052886,16.095180699148163,22.6444566968156,0.06263056022293478
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,6,30,1.989156078185787,8.073938320131239,15.339514308782732,12.065085214682114,0.7134223471539002,0.7566520086457479,0.07414500683994528,2.5135915395634165,10.637767864894853,0.6141999367955335,0.6208115503785177,0.017044017735219245,20.863988962531206,24.101198459353256,0.09922241035836665
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,12,60,3.724108389315384,13.433544938073764,24.428731506454106,19.74922540860298,0.6374997083822603,0.6980058920695469,0.1196993288590604,4.911221484678842,18.176537121361612,0.4862776423106029,0.49242204928222333,0.025018122966434582,24.171442869493934,26.09403623814429,0.15122206607165745
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,1,5,0.40450556728496845,1.6410906643041605,3.5438970385345927,2.631518856073037,0.9112392805646202,0.919332363524998,0.009568272926736725,0.3861551155544349,1.987317070723082,0.9001021543903518,0.9039889748105046,0.0047541177065596706,-4.7520933923628865,17.421800049900828,0.01113712617426843
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,3,15,1.0998592351408423,4.590321152289585,9.572272700408497,7.413070973677513,0.794986976709071,0.8182877865561455,0.0345797105878398,1.1993253908073924,5.714106516157772,0.7540115883191798,0.760134697578034,0.010570325539052886,8.293508703220983,19.666860613999066,0.04097538838989123
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,6,30,2.1292208777064072,8.441860934589306,16.540035960713322,13.708980801777962,0.6884780799807517,0.7312151960732121,0.07824978189383262,2.5135915395634165,10.637767864894853,0.6141999367955335,0.6208115503785177,0.017044017735219245,15.291691422695123,20.642553571338457,0.07427814318521819
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,12,60,4.029880968369889,14.3809530976445,26.717980286858563,23.45449039951349,0.6116122504572519,0.6690989901742077,0.12317288165852135,4.911221484678842,18.176537121361612,0.4862776423106029,0.49242204928222333,0.025018122966434582,17.945444306643537,20.88177741653787,0.12533460814664898
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,1,5,0.342188098503434,1.579118472768244,3.3591240912050653,2.1674031630540505,0.9163778426365073,0.9230993032692749,0.007883216483986702,0.3861551155544349,1.987317070723082,0.9001021543903518,0.9039889748105046,0.0047541177065596706,11.385843481025438,20.5401847530206,0.01627568824615555
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,3,15,1.025841180034312,4.52981850888158,9.288498028150736,6.154370455978773,0.7950143743380239,0.816617018520917,0.03220310365469923,1.1993253908073924,5.714106516157772,0.7540115883191798,0.760134697578034,0.010570325539052886,14.465149500111059,20.72569007818426,0.041002786018844106
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,6,30,2.031389569139901,8.352591528561241,16.115623274738038,11.197507037566258,0.6807928638233253,0.7207913201801552,0.0753680989974595,2.5135915395634165,10.637767864894853,0.6141999367955335,0.6208115503785177,0.017044017735219245,19.183783953508566,21.481727796249473,0.06659292702779174
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,12,60,3.8162906298016948,13.841551596318402,25.327310784940067,17.68842564943509,0.5986132093743948,0.6578853260221719,0.13081725631362845,4.911221484678842,18.176537121361612,0.4862776423106029,0.49242204928222333,0.025018122966434582,22.294471106483766,23.84934762930506,0.11233556706379189
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,1,5,0.35728079372194693,1.5352947363169382,3.1465727390661398,2.2645193319290113,0.9276292874990535,0.9379986218513131,0.011776852837737554,0.3861551155544349,1.987317070723082,0.9001021543903518,0.9039889748105046,0.0047541177065596706,7.477389440000216,22.745355588460587,0.027527133108701696
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,3,15,1.011096423669152,4.319343667945532,8.524215753767878,6.517655956439484,0.8257506539669824,0.8544877606527652,0.039133727534881015,1.1993253908073924,5.714106516157772,0.7540115883191798,0.760134697578034,0.010570325539052886,15.694570346044593,24.40911530557351,0.07173906564780264
