dataset,location,model_type,model_label,seed,split_seed,lead_minutes,threshold_m,csi,pod,far,persistence_csi,persistence_pod,persistence_far
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,5,0.05,0.9323586688539058,0.9449684005833738,0.014110224079690812,0.9234984825346504,0.9289936801166747,0.006364458865004836
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,5,0.1,0.9239026609051626,0.9330985376311155,0.010554346767122398,0.9001021543903518,0.9039889748105046,0.0047541177065596706
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,5,0.2,0.907601189843833,0.9187525205000672,0.013196650303205314,0.8660321715817695,0.8684769458260518,0.003239940755369045
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,5,0.3,0.8949894492945508,0.9059725247110069,0.013364349571246123,0.8437696072280085,0.8448651365387837,0.0015344255803593527
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,15,0.05,0.821125050586807,0.8779976979064796,0.07311814203356692,0.8116672514269577,0.820869429755857,0.013623269792739109
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,15,0.1,0.8145526401360714,0.843543582437508,0.04048439847962521,0.7540115883191798,0.760134697578034,0.010570325539052886
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,15,0.2,0.7866284110143252,0.8077534496280124,0.032176960585128,0.6759391846361186,0.6803662646516458,0.00953468279437176
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,15,0.3,0.760717330410425,0.7835727278429405,0.03692710943221678,0.629461632308318,0.6310606535783729,0.004009305548680889
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,30,0.05,0.7420309745825429,0.8328349643590673,0.1281106719367589,0.6993339181373497,0.7103494623655914,0.021693237242483804
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,30,0.1,0.7174418718776684,0.7783089683663582,0.0982902819924506,0.6141999367955335,0.6208115503785177,0.017044017735219245
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,30,0.2,0.6773056648487703,0.7137482790638107,0.07009969549076044,0.5045513654096229,0.5093330771939936,0.0182670945445569
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,30,0.3,0.6545524674823752,0.6811157936985751,0.056231848235803,0.44571619068785423,0.4471871028162419,0.007325644706231748
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,60,0.05,0.7009708524370265,0.832705306122449,0.18413155453178487,0.595591200322595,0.60768,0.032321467569338284
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,60,0.1,0.6629426471136983,0.7563561125964273,0.15704118428544317,0.4862776423106029,0.49242204928222333,0.025018122966434582
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,60,0.2,0.6110499669821704,0.671543273162921,0.1284795933622365,0.3608003835266186,0.36412123166952737,0.0246544063194273
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,60,0.3,0.5769147584416989,0.6268579989424828,0.12134313301628477,0.29212463594186777,0.2931672639680395,0.012027916646042667
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.05,0.9326039848888719,0.9456976178901313,0.014628858564062042,0.9234984825346504,0.9289936801166747,0.006364458865004836
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.1,0.9265019915491678,0.9367736007962637,0.011696284329563813,0.9001021543903518,0.9039889748105046,0.0047541177065596706
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.2,0.9143114216153276,0.9288882914370211,0.016873915146686395,0.8660321715817695,0.8684769458260518,0.003239940755369045
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,5,0.3,0.9027943047064133,0.9215111408946222,0.0220029337244966,0.8437696072280085,0.8448651365387837,0.0015344255803593527
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.05,0.8298062275802198,0.8768812690939618,0.0607642107605028,0.8116672514269577,0.820869429755857,0.013623269792739109
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.1,0.8166421485421146,0.8412122782023054,0.03453094109077936,0.7540115883191798,0.760134697578034,0.010570325539052886
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.2,0.7945976131874496,0.8143029737807075,0.029554410427402242,0.6759391846361186,0.6803662646516458,0.00953468279437176
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,15,0.3,0.7733580299395743,0.7987518032992535,0.03948559360386182,0.629461632308318,0.6310606535783729,0.004009305548680889
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.05,0.7399617984939262,0.8132249003262052,0.1085349601436979,0.6993339181373497,0.7103494623655914,0.021693237242483804
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.1,0.7134223471539002,0.7566520086457479,0.07414500683994528,0.6141999367955335,0.6208115503785177,0.017044017735219245
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.2,0.6736084349421176,0.6995645631223385,0.052205786665509915,0.5045513654096229,0.5093330771939936,0.0182670945445569
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,30,0.3,0.659078660889435,0.681740138693781,0.04801345123925769,0.44571619068785423,0.4471871028162419,0.007325644706231748
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.05,0.6720353773717261,0.7820538775510204,0.1730976384477282,0.595591200322595,0.60768,0.032321467569338284
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.1,0.6374997083822603,0.6980058920695469,0.1196993288590604,0.4862776423106029,0.49242204928222333,0.025018122966434582
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.2,0.579912150995912,0.6144293794422238,0.08831723784291941,0.3608003835266186,0.36412123166952737,0.0246544063194273
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,60,0.3,0.5541583909139228,0.5819135185946772,0.07924887866322712,0.29212463594186777,0.2931672639680395,0.012027916646042667
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,5,0.05,0.9216000154292713,0.9292075838599902,0.008805409778257172,0.9234984825346504,0.9289936801166747,0.006364458865004836
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,5,0.1,0.9112392805646202,0.919332363524998,0.009568272926736725,0.9001021543903518,0.9039889748105046,0.0047541177065596706
