variant,channel_set,input_channels,parameter_count,best_epoch,mae,rmse,csi,f1,far,channel_names,checkpoint,threshold
A_legacy13,legacy,13,13177,1,0.14907488226890564,0.17711226642131805,0.6522580866226954,0.7895353491756263,0.34774191337713345,"meteo,satellite,gis,social,fused_depth,risk_score,miss_sat,miss_soc,dt_sat,dt_soc,n_soc,exposure,drainage_penalty",runs\batch2_rain_controlled\input_ablation\A_legacy13\outputs\checkpoints\best.pt,0.28
B_rain_current,legacy_rain_current,14,13285,1,0.1065073013305664,0.14136947691440582,0.6583944382954036,0.7940142816711331,0.3416055617044235,"meteo,satellite,gis,social,fused_depth,risk_score,rain_current,miss_sat,miss_soc,dt_sat,dt_soc,n_soc,exposure,drainage_penalty",runs\batch2_rain_controlled\input_ablation\B_rain_current\outputs\checkpoints\best.pt,0.28
C_rain_accum,legacy_rain_accum,17,13609,2,0.0775853842496872,0.09754076600074768,0.6913907766106968,0.8175411407973607,0.30834530020171447,"meteo,satellite,gis,social,fused_depth,risk_score,rain_current,rain_accum_3,rain_accum_6,rain_accum_12,miss_sat,miss_soc,dt_sat,dt_soc,n_soc,exposure,drainage_penalty",runs\batch2_rain_controlled\input_ablation\C_rain_accum\outputs\checkpoints\best.pt,0.28
