csi_max,csi_mean,csi_min,csi_std,f1_max,f1_mean,f1_min,f1_std,far_max,far_mean,far_min,far_std,lead_time,mae_max,mae_mean,mae_min,mae_std,model_type,rmse_max,rmse_mean,rmse_min,rmse_std,seeds
0.9290485673407385,0.9031783951859369,0.8747596201502311,0.01939911424065301,0.9632194629490733,0.9490388267884358,0.9331965613931276,0.010734968426729332,0.033223307649264476,0.016912885976924943,0.004910749523583724,0.01375622427612899,1,0.05773663520812988,0.05284528732299805,0.046266160905361176,0.004575258405269059,unet_single_frame,0.07378221303224564,0.06620583832263946,0.05956476181745529,0.005175507695650979,"[42, 44, 52, 77, 2026]"
0.9339421058291166,0.912382754391458,0.8837939550191055,0.019505185042010997,0.9658428741802774,0.954096831708003,0.9383127575818914,0.010713658952018276,0.04416816850641829,0.01689030515489265,0.0047008024333563036,0.015719071405989122,3,0.055340688675642014,0.048870332539081573,0.04444665089249611,0.004396993056358384,unet_single_frame,0.0675235390663147,0.061490674316883084,0.056443728506565094,0.004526730062385746,"[42, 44, 52, 77, 2026]"
0.9259504788284778,0.9066762049528878,0.8894712994962246,0.015077018107967282,0.9615516953251926,0.9510017220035303,0.9415028373530713,0.008294708876344276,0.05436034101346484,0.022320168457191814,0.004454785911739333,0.019530945303430004,6,0.0659450963139534,0.0594865545630455,0.049504321068525314,0.006205942829633592,unet_single_frame,0.08412700891494751,0.07633380740880966,0.06292393803596497,0.008001584350238601,"[42, 44, 52, 77, 2026]"
0.8677677572580068,0.8363805536055644,0.7896477888191085,0.029229556627869906,0.9292030545415164,0.9106778887293585,0.8824616657316039,0.017532343711711206,0.20350650783513918,0.12823963768479812,0.08457900585723362,0.04583590740197389,12,0.11579075455665588,0.10943006724119186,0.1066182404756546,0.0037288382250045622,unet_single_frame,0.14758093655109406,0.13470854759216308,0.12733273208141327,0.007966864751465666,"[42, 44, 52, 77, 2026]"
0.8238030006285832,0.806759975404117,0.7931097008159298,0.011729887604929157,0.9033903286604096,0.8930088565018865,0.8846192689844806,0.0071700552556680595,0.1910680343168248,0.16189947388650258,0.1276923195309024,0.027336039618748913,24,0.15040607750415802,0.14318292438983918,0.13900074362754822,0.00427507770248761,unet_single_frame,0.19729840755462646,0.18058601021766663,0.174788236618042,0.00941830065077368,"[42, 44, 52, 77, 2026]"
0.9381592763493339,0.9080708377221199,0.8539096989800793,0.03432023453827541,0.9680930591741826,0.9515458491973883,0.9211987993144339,0.01911468654388538,0.0593232371036413,0.03357984896038772,0.007960301871187384,0.019884960643706866,1,0.06898874789476395,0.05795181542634964,0.04797499254345894,0.009215363486771816,cnn3d,0.0895245224237442,0.07337730675935746,0.05987435579299927,0.012509178871860906,"[42, 44, 52, 77, 2026]"
0.9493810776692754,0.924994960535346,0.8902879132740037,0.02300923879004457,0.974033331575069,0.9609167355955865,0.9419601133848275,0.01249757758316802,0.0614840322232584,0.03523415539383169,0.011412372262202566,0.02055416768019035,3,0.05826122686266899,0.0522010937333107,0.04163026809692383,0.00704167164131682,cnn3d,0.07332856953144073,0.06705338805913925,0.05496646463871002,0.007610977369308133,"[42, 44, 52, 77, 2026]"
0.9195819568138895,0.9105084630725798,0.8824795940877616,0.01588972956256448,0.9581064759990934,0.9530997119322508,0.9375714798347653,0.008799018593774889,0.07110660926816616,0.04449653023042434,0.011993558648896376,0.023831061225755106,6,0.0680801272392273,0.06214226186275482,0.053289271891117096,0.005775685641549599,cnn3d,0.08505430072546005,0.07863736152648926,0.06579248607158661,0.00814174188362712,"[42, 44, 52, 77, 2026]"
0.8591524106037784,0.8500445676943007,0.8416310234587959,0.007792961437533371,0.9242409617085912,0.918929624001182,0.9140061262473395,0.004550137789770743,0.12615584620528783,0.11211440466089681,0.06003436531289223,0.029132155010125588,12,0.10371977835893631,0.09983898401260376,0.09592533111572266,0.0033004065134979795,cnn3d,0.13326714932918549,0.1254344552755356,0.12168166041374207,0.004590237712952293,"[42, 44, 52, 77, 2026]"
0.8371658071978855,0.8202136284268876,0.7993623282090379,0.013872897383885453,0.911366627156602,0.9011766580346647,0.8884951198753334,0.008399082197950897,0.18807408471318204,0.1599745535224493,0.1324784250168928,0.020232301754410358,24,0.14322324097156525,0.136506325006485,0.1276351362466812,0.005896567895269429,cnn3d,0.17515763640403748,0.17373251020908356,0.17161525785923004,0.0014167116017069228,"[42, 44, 52, 77, 2026]"
