variant,event_id,mae,csi,mae_delta_vs_A,csi_delta_vs_A,csi_outcome_vs_A
A_legacy13,event_0006,0.24020755290985107,0.4287109374997796,0.0,0.0,tie
A_legacy13,event_0007,0.11620189994573593,0.5622944078944478,0.0,0.0,tie
A_legacy13,event_0014,0.09081524610519409,0.9657689144731878,0.0,0.0,tie
B_rain_current,event_0006,0.147410586476326,0.4382158243141545,-0.09279696643352509,0.009504886814374891,win
B_rain_current,event_0007,0.10693478584289551,0.5655792793255618,-0.009267114102840424,0.0032848714311140004,win
B_rain_current,event_0014,0.06517653912305832,0.966215868771036,-0.025638706982135773,0.0004469542978482455,win
C_rain_accum,event_0006,0.09755765646696091,0.4612109482994408,-0.14264989644289017,0.032500010799661194,win
C_rain_accum,event_0007,0.08367624133825302,0.6159305993687382,-0.03252565860748291,0.05363619147429033,win
C_rain_accum,event_0014,0.05152227357029915,0.9780173985513475,-0.03929297253489494,0.012248484078159705,win
