dataset,location,model_type,model_label,seed,split_seed,rain_forcing,prediction_mode,lead_steps,lead_minutes,mae_cm,rmse_cm,wet_mae_cm,wet_rmse_cm,dry_prediction_mean_cm,peak_depth_mae_cm,csi,pod,far,f1,dry_false_positive_rate,boundary_f1,persistence_mae_cm,persistence_rmse_cm,persistence_wet_mae_cm,persistence_wet_rmse_cm,persistence_dry_prediction_mean_cm,persistence_csi,persistence_pod,persistence_far,persistence_f1,persistence_dry_false_positive_rate,persistence_boundary_f1,depth_bin_0p00_0p10_mae_cm,depth_bin_0p00_0p10_rmse_cm,depth_bin_0p10_0p30_mae_cm,depth_bin_0p10_0p30_rmse_cm,depth_bin_0p30_0p50_mae_cm,depth_bin_0p30_0p50_rmse_cm,depth_bin_0p50plus_mae_cm,depth_bin_0p50plus_rmse_cm,mae_reduction_pct,rmse_reduction_pct,csi_gain
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,1,5,0.3672889601514982,1.576715832013852,3.323108030965295,5.785248638560842,0.73802556952128,2.2137201462800684,0.9226844702818906,0.9332669780261849,0.012140171161825726,0.9597877182069433,0.0008602323431281907,0.9846745934091347,0.3861551155544349,1.987317070723082,4.5046198247252285,7.397111599534366,0.7156934854143532,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657,0.9816683425827687,0.14559276984433558,0.4027410277614221,1.7122535001339163,3.1103622686815697,3.7384740261921094,6.03419224506679,8.307371891725865,10.489597302535188,4.885641713136178,20.661083465651185,0.022582315891538807
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,3,15,1.0769844946777298,4.514411423404621,9.166005622369262,15.420812935010861,0.7497932728335911,6.316852980317214,0.8051231354489939,0.8332987954928118,0.04030369475395654,0.892042342860708,0.003146287218062623,0.9393442693806817,1.1993253908073924,5.714106516157772,12.62609336357296,19.75798281433308,0.6631391367191237,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517,0.927899962697961,0.3497364814625512,0.9124156125838093,4.065347567794748,6.01514265051124,9.203972554270258,13.91410966745311,22.133895644056615,28.04687046615657,10.20080931058268,20.995322529616395,0.05111154712981414
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,6,30,2.1139016931627546,8.247801400924082,15.778238583486601,25.600062033165795,0.9177407093465546,11.541486120758911,0.6995364310108954,0.7567691308467935,0.09756345306568139,0.8232085152711984,0.009125012914434598,0.883476884850787,2.5135915395634165,10.637767864894853,22.79655583753626,33.469851226649226,0.6271981679793969,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191,0.8559126301400194,0.5898905156129408,1.5872454653423649,6.402554327567701,8.47754646802162,13.155753331361813,18.084717021384645,34.593120627951265,43.99957308648902,15.901145437101675,22.466804073228325,0.08533649421536182
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,12,60,3.979546695804805,13.721363393577434,24.750073239885552,38.01738516331735,1.3088264320771512,18.94575732831772,0.6268235925892778,0.7155799260936941,0.16518992371265098,0.7706104035430363,0.020316313890103768,0.8252599724497081,4.911221484678842,18.176537121361612,37.105875176335736,51.24599647814645,0.6061180614528882,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783,0.7600791081085376,0.9993947931861553,2.813375907353498,8.584611377814694,11.033107866015975,17.292290675831055,21.411017997976543,46.76800507663082,58.73786732304881,18.97032727561791,24.510574803317866,0.1405459502786749
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,1,5,0.34972355129672095,1.5735049077015684,3.3359932062974726,5.7799957736230745,0.7413776320162593,2.484947920609743,0.924095255386105,0.9352882627670163,0.012784871504768062,0.9605504226459602,0.0009084696707802388,0.9848914832741765,0.3861551155544349,1.987317070723082,4.5046198247252285,7.397111599534366,0.7156934854143532,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657,0.9816683425827687,0.125743466628928,0.394820273370942,1.7015775838331941,3.089332676232184,3.8176711155036527,6.02939845622615,8.337746948799392,10.497626692137255,9.434437817923536,20.822654276851196,0.023993100995753247
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,3,15,1.0160911982812444,4.599231166602969,9.197396848530731,15.776262250485477,0.7251533534143676,7.090629140535991,0.8108063721464936,0.8312524284419117,0.02944289862085652,0.8955196807545801,0.0022671433062797655,0.9419644682964257,1.1993253908073924,5.714106516157772,12.62609336357296,19.75798281433308,0.6631391367191237,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517,0.927899962697961,0.28054629294261324,0.823441963027168,3.936943273636932,5.922627492220023,9.094903304961557,14.003946796812489,22.68384443611714,28.90658938370045,15.278105002245786,19.510930473596716,0.056794783827313844
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,6,30,2.0162426634223953,8.491663628978753,16.21964493348696,26.517350991372556,0.7754823920592785,12.988575576589659,0.7042889162611312,0.7427357616669683,0.0684658939159233,0.8264900505322773,0.006088487924558327,0.8863943181764122,2.5135915395634165,10.637767864894853,22.79655583753626,33.469851226649226,0.6271981679793969,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191,0.8559126301400194,0.4321084319147456,1.3133079250887647,6.314648714022517,8.377207080151361,12.876850076627916,18.084180697437905,36.47683135268242,45.88758731903896,19.78638407684191,20.174384919587762,0.09008897946559768
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,12,60,3.8240257785199887,14.187576642756945,26.07825728483152,39.661954472890564,0.9672823519912058,22.005955311350334,0.6331394390410475,0.6867411406093012,0.10974855957085146,0.775364826671281,0.012147030006572565,0.8337927535330029,4.911221484678842,18.176537121361612,37.105875176335736,51.24599647814645,0.6061180614528882,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783,0.7600791081085376,0.6309921197873175,2.112836305664446,8.595135152861575,10.84753425174131,17.151719755170866,21.336461946880107,50.35313417224875,61.604142633019855,22.136971617967014,21.94565693108134,0.14686179673044464
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,1,5,0.4149440931442129,1.6462965004241472,3.5388420929738804,6.052852224786672,0.7098287990596752,2.5780606250732374,0.9158857281274129,0.9263762345915321,0.01221324189729774,0.9560964045831687,0.0008590838353269514,0.9834355201850628,0.3861551155544349,1.987317070723082,4.5046198247252285,7.397111599534366,0.7156934854143532,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657,0.9816683425827687,0.18064142817097165,0.40703261666368795,1.869963998746819,3.2548719085356272,3.995899909625312,6.367623627674503,8.678051576991294,10.945273066621768,-7.455288413943003,17.159847078395753,0.015783573737061074
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,3,15,1.1287098974354588,4.853627187743605,9.982110882155514,16.686666462236204,0.7535515905456566,7.858097285796435,0.7982375829709316,0.8130423520269395,0.022302864173688226,0.8877999109018011,0.0016674623598318563,0.9410872324850056,1.1993253908073924,5.714106516157772,12.62609336357296,19.75798281433308,0.6631391367191237,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517,0.927899962697961,0.33273988144757416,0.8012019265604058,4.46448909547323,6.404234927617582,10.00306563713449,14.79868107173592,24.026034631980334,30.505950980063943,5.88793449327333,15.058860488179391,0.04422599465175181
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,6,30,2.255401687751411,8.995449289660511,17.682504880238906,28.12160450659078,0.8472968652765925,14.942806185438082,0.684417408526419,0.721174629201759,0.06930856326261405,0.8126458502054651,0.00598992258464447,0.880321495876667,2.5135915395634165,10.637767864894853,22.79655583753626,33.469851226649226,0.6271981679793969,0.6141999367955335,0.6208115503785177,0.017044017735219245,0.7609961105745386,0.0012005970922037191,0.8559126301400194,0.5347856131276715,1.3193915700588361,6.906823410253569,8.935628848245921,14.590939331207203,18.997335844900267,39.35833139267912,48.69361936522967,10.271750511097375,15.438563767254895,0.07021747173088544
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,12,60,4.477913525667533,15.560435665838732,29.567780052789804,43.59234714642902,1.029846384127948,27.825388809045155,0.5933726568049165,0.6543943599611737,0.13580857714709785,0.7448008527958135,0.014755287983443976,0.8085263779506332,4.911221484678842,18.176537121361612,37.105875176335736,51.24599647814645,0.6061180614528882,0.4862776423106029,0.49242204928222333,0.025018122966434582,0.6543563981149901,0.0018129530855630783,0.7600791081085376,0.8780233972894399,2.0527593684765626,8.95451640043166,11.336146249632788,20.393704173743927,23.783190887553854,57.46354259887965,67.75890453494361,8.822814453859735,14.392738496093182,0.10709501449431358
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,1,5,0.3872736711116747,1.596269011658876,3.385005275778836,5.8186181422081695,0.8007983260097749,2.2318837829889393,0.9175507362622395,0.9283975193323635,0.012573085128906696,0.9570028254384165,0.0008866480225566932,0.983553383819087,0.3861551155544349,1.987317070723082,4.5046198247252285,7.397111599534366,0.7156934854143532,0.9001021543903518,0.9039889748105046,0.0047541177065596706,0.9474250132400379,0.0003238791999494657,0.9816683425827687,0.1624339023720026,0.4470494429891762,1.7977779990708147,3.267648498765231,3.84782697106679,6.245283769482978,8.246902883743006,10.312060392887576,-0.28966482954235323,19.6771851268768,0.01744858187188769
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,3,15,1.1248889769727652,4.704269816778111,9.55583764908633,16.062714995489884,0.8286183590643195,6.806559607577629,0.7909490886235072,0.8149203471052973,0.035856573705179286,0.883273671650172,0.002724763912015743,0.936384123610031,1.1993253908073924,5.714106516157772,12.62609336357296,19.75798281433308,0.6631391367191237,0.7540115883191798,0.760134697578034,0.010570325539052886,0.8597566781662235,0.0007300969969375517,0.927899962697961,0.3668997747534933,0.9608177132899061,4.3022304966729505,6.343936951845245,9.570931725256832,14.780371393709016,22.931619955505976,29.056772310795903,6.206523634467222,17.672696449114955,0.03693750030432741
