dataset,location,model_type,model_label,seed,event_id,samples,mean_mae_cm,mean_rmse_cm,mean_csi,mean_wet_rmse_cm,mean_boundary_f1,peak_time_mae_min,persistence_mean_mae_cm,persistence_mean_csi,persistence_peak_time_mae_min,mae_reduction_pct,csi_gain
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r100y_p0.5_d3h_1,26,0.6302020223821899,1.6525639173356514,0.7363172121407112,5.622768641170034,0.9172411873012225,8.461538461538462,0.5002831929785978,0.6445510862967422,55.0,-25.96905737130171,0.09176612584396904
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r100y_p0.7_d3h_1,26,0.4821031147532288,1.3858682689708677,0.7283107454567463,5.349121087374242,0.926016033056748,4.230769230769231,0.4198263858915212,0.643062689850945,55.0,-14.833924439851492,0.0852480556058014
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r100y_p0.8_d3h_1,26,0.48135914929474005,1.3499834328497529,0.7260102057242575,5.300221199458954,0.9262372207713859,5.384615384615385,0.38454974855222807,0.639373970419521,53.84615384615385,-25.174740357258017,0.08663623530473641
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r200y_p0.5_d3h_1,26,0.728220057601304,1.833714241795791,0.7810923365426331,5.465369163465045,0.9355908595779097,0.0,0.645143305306119,0.7107959287498848,55.0,-12.877255582116806,0.07029640779274826
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r300y_p0.1_d3h_1,26,7.533580099430423,16.325078097561335,0.7287377653263762,29.640048488723252,0.8447006143465174,0.0,9.849093978007787,0.6499613150569965,55.0,23.50991760001189,0.07877645026937974
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r300y_p0.5_d3h_1,26,0.789720301765237,1.9468665663575133,0.79500411856559,5.508890477508324,0.9384981626396072,0.0,0.7289477938276714,0.7311205776946749,55.0,-8.337017884154909,0.06388354087091508
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r300y_p0.6_d3h_1,26,0.6997296871278579,1.7627042928199241,0.8010799495485653,5.149786000036927,0.9413836352695888,0.0,0.6675955418484582,0.7351729115370766,55.0,-4.8134151990328995,0.06590703801148867
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r300y_p0.8_d3h_1,26,0.5914883500215522,1.717023653534165,0.8151905655108139,5.527201771395394,0.9503432388210105,0.0,0.5981127835596759,0.739708296865552,55.0,1.107555919252937,0.07548226864526197
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r500y_p0.1_d3h_1,26,7.928266246688896,16.979102566761426,0.7352055794485138,30.345502504136487,0.8460648095445732,0.0,10.437738887635145,0.6577656554464262,55.0,24.042301383099794,0.07743992400208766
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r500y_p0.3_d3h_1,26,1.0882485598930458,2.572506506651486,0.8132946393051452,6.342167353443861,0.940454787891619,0.0,1.1791099887065046,0.7444395670556976,55.0,7.705933261843937,0.06885507224944765
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r500y_p0.4_d3h_1,26,0.9915752555496204,2.328243214692453,0.8099452184262452,6.037564864143187,0.942997080929341,0.0,0.9457617622116108,0.753722275622938,55.0,-4.844083908708402,0.056222942803307197
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,r500y_p0.9_d3h_1,26,0.6686726868822725,1.931751656211901,0.8308276331109001,5.894964026402363,0.951806410599923,0.0,0.674717223286946,0.7645072841140748,55.0,0.8958621769319893,0.06632034899682537
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,r100y_p0.5_d3h_1,26,0.4640183767014403,1.4806685384991225,0.7419156443107019,5.800140307265851,0.922134361213834,0.0,0.5002831929785978,0.6445510862967422,55.0,7.248857604278725,0.09736455801395971
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,r100y_p0.7_d3h_1,26,0.38831310206934444,1.2984644630922741,0.7408134813975028,5.367697362777757,0.9291575295303715,0.0,0.4198263858915212,0.643062689850945,55.0,7.506265656756381,0.09775079154655786
