dataset,location,model_type,model_label,seed,lead_minutes,depth_bin_m,pixels,mae_cm,rmse_cm,persistence_mae_cm,persistence_rmse_cm
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,5,0.00-0.10,870695,0.14559276984433558,0.4027410277614221,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,5,0.10-0.30,41429,1.7122535001339163,3.1103622686815697,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,5,0.30-0.50,11440,3.7384740261921094,6.03419224506679,5.389570514769196,7.850880605646717
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,5,0.50+,12436,8.307371891725865,10.489597302535188,10.86350979409865,13.455957836388228
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,15,0.00-0.10,858790,0.3497364814625512,0.9124156125838093,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,15,0.10-0.30,45324,4.065347567794748,6.01514265051124,5.551429416960648,7.52614404114484
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,15,0.30-0.50,14100,9.203972554270258,13.91410966745311,13.154482909762265,17.345726286586768
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,15,0.50+,17786,22.133895644056615,28.04687046615657,30.235548896856844,36.21862047951262
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,30,0.00-0.10,842081,0.5898905156129408,1.5872454653423649,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,30,0.10-0.30,49072,6.402554327567701,8.47754646802162,8.711201535935025,10.79257884431867
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,30,0.30-0.50,17899,13.155753331361813,18.084717021384645,19.382019927914072,22.741585499570398
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,30,0.50+,26948,34.593120627951265,43.99957308648902,50.71377732093033,57.86708993304317
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,60,0.00-0.10,818554,0.9993947931861553,2.813375907353498,0.291937604238047,0.9951907148157071
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,60,0.10-0.30,49362,8.584611377814694,11.033107866015975,11.322287135496346,13.7529954329003
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,60,0.30-0.50,23786,17.292290675831055,21.411017997976543,26.518831346871565,28.79677465500664
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,60,0.50+,44298,46.76800507663082,58.73786732304881,71.52171556189602,79.41411709651686
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,5,0.00-0.10,870695,0.125743466628928,0.394820273370942,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,5,0.10-0.30,41429,1.7015775838331941,3.089332676232184,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,5,0.30-0.50,11440,3.8176711155036527,6.02939845622615,5.389570514769196,7.850880605646717
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,5,0.50+,12436,8.337746948799392,10.497626692137255,10.86350979409865,13.455957836388228
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,15,0.00-0.10,858790,0.28054629294261324,0.823441963027168,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,15,0.10-0.30,45324,3.936943273636932,5.922627492220023,5.551429416960648,7.52614404114484
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,15,0.30-0.50,14100,9.094903304961557,14.003946796812489,13.154482909762265,17.345726286586768
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,15,0.50+,17786,22.68384443611714,28.90658938370045,30.235548896856844,36.21862047951262
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,30,0.00-0.10,842081,0.4321084319147456,1.3133079250887647,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,30,0.10-0.30,49072,6.314648714022517,8.377207080151361,8.711201535935025,10.79257884431867
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,30,0.30-0.50,17899,12.876850076627916,18.084180697437905,19.382019927914072,22.741585499570398
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,30,0.50+,26948,36.47683135268242,45.88758731903896,50.71377732093033,57.86708993304317
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,60,0.00-0.10,818554,0.6309921197873175,2.112836305664446,0.291937604238047,0.9951907148157071
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,60,0.10-0.30,49362,8.595135152861575,10.84753425174131,11.322287135496346,13.7529954329003
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,60,0.30-0.50,23786,17.151719755170866,21.336461946880107,26.518831346871565,28.79677465500664
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,60,0.50+,44298,50.35313417224875,61.604142633019855,71.52171556189602,79.41411709651686
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,5,0.00-0.10,870695,0.18064142817097165,0.40703261666368795,0.07725666336118858,0.3763963210709829
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,5,0.10-0.30,41429,1.869963998746819,3.2548719085356272,2.3514664405443195,3.8575559656027414
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,5,0.30-0.50,11440,3.995899909625312,6.367623627674503,5.389570514769196,7.850880605646717
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,5,0.50+,12436,8.678051576991294,10.945273066621768,10.86350979409865,13.455957836388228
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,15,0.00-0.10,858790,0.33273988144757416,0.8012019265604058,0.17199536230539633,0.6995547435309106
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,15,0.10-0.30,45324,4.46448909547323,6.404234927617582,5.551429416960648,7.52614404114484
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,15,0.30-0.50,14100,10.00306563713449,14.79868107173592,13.154482909762265,17.345726286586768
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,15,0.50+,17786,24.026034631980334,30.505950980063943,30.235548896856844,36.21862047951262
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,30,0.00-0.10,842081,0.5347856131276715,1.3193915700588361,0.2513914377901772,0.9174298511174458
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,30,0.10-0.30,49072,6.906823410253569,8.935628848245921,8.711201535935025,10.79257884431867
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,30,0.30-0.50,17899,14.590939331207203,18.997335844900267,19.382019927914072,22.741585499570398
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,30,0.50+,26948,39.35833139267912,48.69361936522967,50.71377732093033,57.86708993304317
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,60,0.00-0.10,818554,0.8780233972894399,2.0527593684765626,0.291937604238047,0.9951907148157071
