dataset,location,model_type,model_label,event_id,seed_count,mean_mae_cm,mean_rmse_cm,mean_csi,mean_wet_rmse_cm,mean_boundary_f1,peak_time_mae_min,mae_reduction_pct,csi_gain
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r100y_p0.5_d3h_1,5,0.6728296829456589,1.762690294497785,0.7060530470064554,6.048843070377056,0.9016542805567839,8.807692307692308,-34.48976347571258,0.061501960709713276
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r100y_p0.7_d3h_1,5,0.5017762058157856,1.3995947575288021,0.7287269965645663,5.254992826937604,0.9254744226450675,5.730769230769231,-19.51993078049158,0.08566430671362131
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r100y_p0.8_d3h_1,5,0.5074369544350363,1.3784743903382461,0.7217721856357973,5.108875477883833,0.9220329971830998,7.230769230769231,-31.956126962885847,0.08239821521627622
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r200y_p0.5_d3h_1,5,0.7661218538183824,1.9746181580819402,0.7607547567897677,6.105347712302635,0.9237404501393385,3.6153846153846154,-18.752197770208497,0.04995882803988287
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r300y_p0.1_d3h_1,5,7.885967837785748,17.093359739612445,0.73218498173264,31.069011418787603,0.8474084069697587,0.0,19.93204800975132,0.08222366667564351
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r300y_p0.5_d3h_1,5,0.8227741802356767,2.1044803213354344,0.7784836057008686,6.242777007261743,0.929998326329642,2.923076923076923,-12.871482320472817,0.04736302800619378
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r300y_p0.6_d3h_1,5,0.6741425487555022,1.8056192418048167,0.8012857391354142,5.6639966340416,0.9437413102735879,2.769230769230769,-0.9806846356278015,0.06611282759833759
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r300y_p0.8_d3h_1,5,0.5958391335423213,1.6269480065582516,0.8126429082344584,4.949919499519982,0.9490373147121547,0.4615384615384615,0.38013733861745685,0.07293461136890642
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r500y_p0.1_d3h_1,5,8.342313537841203,17.772358457582634,0.7394297426142528,31.792685437007098,0.8480842900926175,0.0,20.07547201890867,0.08166408716782655
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r500y_p0.3_d3h_1,5,1.1760566854440895,2.761948817169773,0.7883429949021167,7.020924616566111,0.9255223660512651,2.4615384615384617,0.25894982585675547,0.04390342784641912
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r500y_p0.4_d3h_1,5,1.0523899234381358,2.5378001674259347,0.7822893239701844,6.835960912119073,0.9268363697329587,3.6923076923076925,-11.2743151062886,0.02856704834724628
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,r500y_p0.9_d3h_1,5,0.6540713516971949,1.7798309176323703,0.8267873633565977,5.130088593606434,0.9515161872593493,0.0,3.0599295345052764,0.06228007924252297
larno_ukea,ukea,convlstm,Conv-LSTM,r100y_p0.5_d3h_1,5,0.5621871916436141,1.6808672541759082,0.7049012816264991,6.247554889548041,0.906920091540908,1.1923076923076923,-12.37379139132195,0.06035019532975692
larno_ukea,ukea,convlstm,Conv-LSTM,r100y_p0.7_d3h_1,5,0.43540016586902125,1.3669807651223949,0.7221021562201329,5.562622565048003,0.9232251266143737,2.192307692307692,-3.709576267920464,0.07903946636918786
larno_ukea,ukea,convlstm,Conv-LSTM,r100y_p0.8_d3h_1,5,0.42748475294147986,1.3204150834335182,0.7173599306076843,5.470201659682811,0.921018640569105,4.346153846153846,-11.16500649159065,0.07798596018816328
larno_ukea,ukea,convlstm,Conv-LSTM,r200y_p0.5_d3h_1,5,0.6327295681462441,1.8837318025855139,0.7637492752036849,6.343051534322256,0.9294135562558511,0.0,1.9241828997953419,0.05295334645379997
larno_ukea,ukea,convlstm,Conv-LSTM,r300y_p0.1_d3h_1,5,7.912297730333001,17.25052528751437,0.721301717623972,31.441460874816865,0.8399737497241782,0.0,19.664714866154103,0.07134040256697545
larno_ukea,ukea,convlstm,Conv-LSTM,r300y_p0.5_d3h_1,5,0.6746350712770509,2.006241596748094,0.781696292059665,6.4830050984032415,0.9357766586290074,0.0,7.450838456541161,0.05057571436499007
larno_ukea,ukea,convlstm,Conv-LSTM,r300y_p0.6_d3h_1,5,0.565570158083692,1.7571275285445451,0.7959978196925495,5.957174443158276,0.94376994574728,0.0,15.282514242422167,0.060824908155472854
larno_ukea,ukea,convlstm,Conv-LSTM,r300y_p0.8_d3h_1,5,0.5348983992400573,1.6026196679473677,0.8047703154820114,5.343715274700117,0.947601041576789,0.0,10.568973955613748,0.06506201861645941
larno_ukea,ukea,convlstm,Conv-LSTM,r500y_p0.1_d3h_1,5,8.272477060230829,17.813616562002508,0.7294375308142026,31.94565607410528,0.8406966351579847,0.0,20.74454870651488,0.07167187536777637
larno_ukea,ukea,convlstm,Conv-LSTM,r500y_p0.3_d3h_1,5,1.0721288827240727,2.7643469877837568,0.7839927898887493,7.326610909973748,0.9242377306576101,0.0,9.07303873320514,0.03955322283305178
larno_ukea,ukea,convlstm,Conv-LSTM,r500y_p0.4_d3h_1,5,0.9141690872307566,2.518507324064646,0.7829642081067304,7.1897305677831564,0.9301128447420594,0.0,3.340447482987311,0.029241932483792386
larno_ukea,ukea,convlstm,Conv-LSTM,r500y_p0.9_d3h_1,5,0.5894024700867747,1.7499198353216896,0.8188280184063285,5.554142072657534,0.9507936650800908,0.0,12.644519845595884,0.054320734292253724
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r100y_p0.5_d3h_1,5,0.5912392894906425,1.7593157778810276,0.7074484474003372,6.047718133467799,0.9101249944220907,2.076923076923077,-18.180921883565215,0.06289736110359498
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,r100y_p0.7_d3h_1,5,0.5585171469940564,1.584513316388267,0.705658992116353,5.479261768727677,0.9113884090759989,3.6153846153846154,-33.03526547242112,0.06259630226540802
