dataset,location,model_type,model_label,lead_minutes,seed_count,mae_cm_mean,mae_cm_std,rmse_cm_mean,rmse_cm_std,csi_mean,csi_std,pod_mean,pod_std,far_mean,far_std,f1_mean,f1_std,wet_mae_cm_mean,wet_mae_cm_std,wet_rmse_cm_mean,wet_rmse_cm_std,dry_prediction_mean_cm_mean,dry_prediction_mean_cm_std,dry_false_positive_rate_mean,dry_false_positive_rate_std,boundary_f1_mean,boundary_f1_std,mae_reduction_pct_mean,mae_reduction_pct_std,rmse_reduction_pct_mean,rmse_reduction_pct_std,csi_gain_mean,csi_gain_std,persistence_mae_cm_mean,persistence_mae_cm_std,persistence_rmse_cm_mean,persistence_rmse_cm_std,persistence_csi_mean,persistence_csi_std,persistence_wet_mae_cm_mean,persistence_wet_mae_cm_std,persistence_wet_rmse_cm_mean,persistence_wet_rmse_cm_std,persistence_dry_prediction_mean_cm_mean,persistence_dry_prediction_mean_cm_std,persistence_f1_mean,persistence_f1_std,persistence_dry_false_positive_rate_mean,persistence_dry_false_positive_rate_std,persistence_boundary_f1_mean,persistence_boundary_f1_std
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,5,5,0.38667283065783525,0.02566989704411181,1.6061336412124405,0.030490533962070923,0.920248202079408,0.0030869356532770937,0.9314968226016385,0.00347566129107719,0.012948603052483696,0.0010678207723426988,0.9584652816426165,0.0016749075814711703,3.402176140131378,0.07780454621633343,5.887691270346252,0.11588746451395064,0.7483763293274255,0.02967211950268856,0.0009167389269491614,7.84268540590925e-05,0.9841108465120596,0.0005842068099268887,-0.13406920756624566,6.647561047392941,19.180805877742934,1.534256129092526,0.020146047689056302,0.0030869356532770937,0.3861551155544349,0.0,1.987317070723082,0.0,0.9001021543903518,0.0,4.5046198247252285,0.0,7.397111599534366,0.0,0.7156934854143532,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0,0.9816683425827687,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,15,5,1.1081885859396294,0.05927120601899022,4.677448554065435,0.11482227384759966,0.8039796094065321,0.008571656410566118,0.8269550576350214,0.011237358134308366,0.03328136149580154,0.0066098165348924326,0.8913149565056397,0.005274597488611403,9.440520361314828,0.3034738087428782,16.000772293845355,0.41575294820061276,0.7799824994868142,0.04674866937961608,0.002567565994014835,0.0005433101537333367,0.9407764778039306,0.0028832128873715335,7.599005704899581,4.942045459330143,18.142083266403596,2.0094528081147396,0.04996802108735234,0.008571656410566118,1.1993253908073924,0.0,5.714106516157772,0.0,0.7540115883191798,0.0,12.62609336357296,0.0,19.75798281433308,0.0,0.6631391367191237,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0,0.927899962697961,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,30,5,2.1959262526191012,0.11711853745391468,8.60548266248853,0.24618662433935215,0.6915010585661954,0.01373533383825388,0.746511355529765,0.025435870460989145,0.09480876014205501,0.025345170515977174,0.8175397689159787,0.009663722159628579,16.48262219319576,0.6694444709258849,26.75588019141117,0.8246935427290816,0.935104649706045,0.12384958388197574,0.008862805359579423,0.002927255741613199,0.879938956697345,0.004912119483879298,12.637904048622413,4.659410075602693,19.10443269882737,2.3142695673194744,0.07730112177066184,0.01373533383825388,2.5135915395634165,0.0,10.637767864894853,0.0,0.6141999367955335,0.0,22.79655583753626,0.0,33.469851226649226,0.0,0.6271981679793969,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0,0.8559126301400194,0.0
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,60,5,4.193118962701678,0.25145607114994695,14.482250155906334,0.6051566636293371,0.6105924041235038,0.0246601824973764,0.7056604737496381,0.04787482363717186,0.1752634186585339,0.05094091618417042,0.7579267948356571,0.019208566047741512,26.59715446392807,1.593013028341446,40.28255462321599,1.8210514210650917,1.2702528834125686,0.2377087057318241,0.022355275278112378,0.009101834190609712,0.8091018158237978,0.018985243688667233,14.621668442715796,5.120031176243934,20.32448172492461,3.3293286811938385,0.12431476181290087,0.0246601824973764,4.911221484678842,0.0,18.176537121361612,0.0,0.4862776423106029,0.0,37.105875176335736,0.0,51.24599647814645,0.0,0.6061180614528882,0.0,0.6543563981149901,0.0,0.0018129530855630783,0.0,0.7600791081085376,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,5,5,0.376025963234677,0.03063530238219184,1.7171770611148691,0.02291575768862416,0.9130330953043313,0.0021392363078930523,0.9193844269198377,0.0026734979458848994,0.007505738897842082,0.0007462142440777359,0.9545384730773838,0.001169048589072238,3.6646587281150533,0.0682874318795497,6.350739260705603,0.09288499491792675,0.7502346326829435,0.04658523922380054,0.0005216522433228628,5.340450128689629e-05,0.9832676824664969,0.0009152379754546697,2.623078631294211,7.933418760542948,13.59320128568729,1.1531002287564664,0.01293094091397955,0.0021392363078930523,0.3861551155544349,0.0,1.987317070723082,0.0,0.9001021543903518,0.0,4.5046198247252285,0.0,7.397111599534366,0.0,0.7156934854143532,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0,0.9816683425827687,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,15,5,1.0841358741298324,0.05026495115885521,4.86725419355262,0.053419100608663984,0.7930998210857813,0.0029776083213037302,0.8073125242844191,0.005198161142357455,0.021660234904294858,0.004761964695194041,0.8846100536653699,0.001851558208590679,9.942222576464392,0.12747487538463234,16.73585080508266,0.20534116352090137,0.7436338302396013,0.07555530692495323,0.0016106382235470838,0.0003690607407844717,0.9385236337457592,0.0015080095794092038,9.604525807630388,4.19110205988523,14.820380407864441,0.9348635776671439,0.03908823276660147,0.0029776083213037302,1.1993253908073924,0.0,5.714106516157772,0.0,0.7540115883191798,0.0,12.62609336357296,0.0,19.75798281433308,0.0,0.6631391367191237,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0,0.927899962697961,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,30,5,2.1061302985903794,0.0712322565800257,8.764999309388998,0.1527240581717333,0.683626962191901,0.010510922850286989,0.7194284436588976,0.013813458558897098,0.06747773713424486,0.014573820029147828,0.8120422647087489,0.007389855170774392,17.00133401953086,0.4087550649370636,27.376633905764685,0.5138133335166726,0.8826581941758943,0.058795380449989124,0.005841718314508937,0.0014240450426473003,0.878601192112534,0.007093452387677898,16.210320354746603,2.833883527169969,17.60490151026967,1.4356776732807834,0.06942702539636743,0.010510922850286989,2.5135915395634165,0.0,10.637767864894853,0.0,0.6141999367955335,0.0,22.79655583753626,0.0,33.469851226649226,0.0,0.6271981679793969,0.0,0.7609961105745386,0.0,0.0012005970922037191,0.0,0.8559126301400194,0.0
larno_ukea,ukea,convlstm,Conv-LSTM,60,5,3.964834709980641,0.12197926258900828,14.143961359880198,0.31554206813856783,0.6118377309649644,0.018014857649832534,0.6849190266164875,0.027583153240130383,0.14632201258322397,0.03438725540525922,0.7590251552093534,0.013882122109773996,26.193521821397294,0.695541114331607,39.36576643291424,0.9719912079586646,1.0528989290749582,0.13448399441457795,0.01716245965446385,0.005337153350251453,0.806397751503603,0.01681928378455493,19.269885865472993,2.48368482198446,22.185610683468468,1.7359856062337269,0.12556008865436158,0.018014857649832534,4.911221484678842,0.0,18.176537121361612,0.0,0.4862776423106029,0.0,37.105875176335736,0.0,51.24599647814645,0.0,0.6061180614528882,0.0,0.6543563981149901,0.0,0.0018129530855630783,0.0,0.7600791081085376,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,5,5,0.3700950282637232,0.012131691006703055,1.763354959341984,0.05652633354066016,0.9117141518208064,0.005939802800284612,0.917794962100911,0.007644088438939456,0.007181796424200016,0.002037944571416453,0.95380837908836,0.0032538544819828903,3.8067335857360947,0.19563094262372632,6.521429611948645,0.2355582853553544,0.7461075570831076,0.03276458576010569,0.0004993711919788215,0.0001466647610007874,0.9834224907017697,0.0010111268713662806,4.158973076830244,3.141662642299735,11.269571156031482,2.844354047645409,0.011611997430454624,0.005939802800284612,0.3861551155544349,0.0,1.987317070723082,0.0,0.9001021543903518,0.0,4.5046198247252285,0.0,7.397111599534366,0.0,0.7156934854143532,0.0,0.9474250132400379,0.0,0.0003238791999494657,0.0,0.9816683425827687,0.0
larno_ukea,ukea,convlstm_attention,Conv-LSTM + Attention,15,5,1.0936546215282668,0.04435536476580446,4.946890592960061,0.14398242752308635,0.7890250415727628,0.012393535003717785,0.8054371195441005,0.01764401753258773,0.024835269525586335,0.007922220017828356,0.8820185197617193,0.00781576174651762,10.252306407987454,0.4633700179407837,17.000005120484165,0.5310266562155628,0.7983427636701501,0.09449282899493418,0.0018614562349351996,0.0006407676750778589,0.9388259243806267,0.004041089552067238,8.8108506739766,3.6983595199251296,13.426699712864213,2.519771500862776,0.03501345325358296,0.012393535003717785,1.1993253908073924,0.0,5.714106516157772,0.0,0.7540115883191798,0.0,12.62609336357296,0.0,19.75798281433308,0.0,0.6631391367191237,0.0,0.8597566781662235,0.0,0.0007300969969375517,0.0,0.927899962697961,0.0
