dataset,location,model_type,model_label,seed,split_seed,rain_forcing,prediction_mode,best_epoch,mean_mae_cm,mean_rmse_cm,mean_csi,mean_pod,mean_far,mean_wet_mae_cm,mean_wet_rmse_cm,mean_dry_prediction_cm,mean_boundary_f1,peak_time_mae_min,persistence_peak_time_mae_min,persistence_mean_mae_cm,persistence_mean_rmse_cm,persistence_mean_csi,mae_reduction_pct,rmse_reduction_pct,csi_gain,parameter_count,latency_ms_per_sample,peak_cuda_memory_mb,runtime_sec,training_time_sec,epochs_ran,train_samples,validation_samples,test_samples,metrics_path
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,2026,44,past_only,residual,12,1.8844304609491969,7.015073012479998,0.7635419073327644,0.8097287076148711,0.07879931067352866,13.254356369176678,21.20587719251371,0.9285964959446442,0.9081889300225778,1.5064102564102564,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,16.34321547689436,23.15560130830182,0.07489407687884742,9412,3.8664299994707108,199.37890625,46.180673599243164,40.77932929992676,12,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_2026/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,42,44,past_only,residual,5,1.8015207978800873,7.212994086510059,0.7680824957086944,0.7990043983712993,0.05511055590309984,13.707823068286672,21.933890872092917,0.8023239323702778,0.9117607558200043,0.09615384615384616,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,20.023879721072475,20.98753749838884,0.07943466525477738,9412,3.790379999554716,199.37890625,36.52420520782471,31.12189245223999,9,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_42/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,44,44,past_only,residual,3,2.0692423009996537,7.763952160916749,0.7479783441074199,0.778746893945351,0.059908311620174466,15.192809477039527,23.613367585010668,0.8351309097524681,0.9033426566243421,6.0576923076923075,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,8.138739588390592,14.95224152116985,0.05933051365350295,9412,3.917757500312291,199.37890625,29.918752908706665,24.52652907371521,7,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_44/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,52,44,past_only,residual,6,2.0079886505030955,7.3600259639907515,0.7366395045558936,0.785975208605644,0.09205017210196809,13.982787444847663,22.221935779785078,1.0277040691182706,0.8933511317839153,1.1538461538461537,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,10.858013951140526,19.376923297593663,0.04799167410197658,9412,3.743069998745341,199.37890625,39.63696265220642,34.312687158584595,10,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_52/metrics/test_metrics.json
larno_ukea,ukea,cnn_temporal_transformer,CNN-Temporal Transformer,77,44,past_only,residual,3,2.091701079565771,7.362098543193368,0.7666593410147768,0.8398244283579133,0.10950932888732165,13.765315088862009,22.183551544121073,1.073390045230406,0.9007666467955765,6.891025641025641,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,7.141711978143072,19.35421988420329,0.07801151056085986,9412,3.861860001052264,199.37890625,29.67759680747986,24.327080965042114,7,234,52,312,larno_ukea/ukea/cnn_temporal_transformer/seed_77/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,2026,44,past_only,residual,2,1.8838374740605348,7.581514652500184,0.7420833362141673,0.7655803724045236,0.04865233996230342,14.621151022722065,23.133144626854943,0.7956239293427595,0.9010972728202333,0.09615384615384616,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,16.369540341301853,16.950695508482863,0.05343550576025036,22084,1.7602474996238016,23.41845703125,17.8338942527771,13.1500244140625,6,234,52,312,larno_ukea/ukea/convlstm/seed_2026/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,42,44,past_only,residual,3,1.865585435278303,7.271849833891846,0.7626244966803493,0.7987583274375392,0.06380754989011053,13.79368135886332,22.141345280923236,0.8935215926482305,0.9089855321797258,0.09615384615384616,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,17.179815332687536,20.342820827720143,0.07397666622643229,22084,1.6719799998099916,23.41845703125,19.559360027313232,15.109569787979126,7,234,52,312,larno_ukea/ukea/convlstm/seed_42/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,44,44,past_only,residual,2,1.8944281807764596,7.407742231361953,0.7543084689257419,0.7850458920437284,0.057550696803013446,14.393987569402423,22.58220465906391,0.9071138929314233,0.9042327025942832,0.9615384615384616,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,15.899379999468248,18.854230537670976,0.0656606384718249,22084,1.7315049990429543,23.41845703125,17.336962461471558,12.867616176605225,6,234,52,312,larno_ukea/ukea/convlstm/seed_44/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,52,44,past_only,residual,2,1.982095461439018,7.339421263850008,0.7418994424940497,0.7882068850290596,0.08449270210053933,14.11122663191198,22.24852894931587,0.8500508619935232,0.8900958537855455,1.6826923076923077,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,12.007507648593531,19.602630968735692,0.053251612040132734,22084,1.4872975007165223,23.41845703125,17.59795117378235,13.028306722640991,6,234,52,312,larno_ukea/ukea/convlstm/seed_52/metrics/test_metrics.json
larno_ukea,ukea,convlstm,Conv-LSTM,77,44,past_only,residual,4,1.7879620058650971,7.266211923316864,0.7510812676194143,0.7762140499347018,0.0492038656435405,14.082124848984709,22.18101448942603,0.8404717058008101,0.9040764634057036,0.38461538461538464,54.90384615384615,2.2525733826510215,9.12893214328433,0.688647830453917,20.62580426299497,20.404579536038828,0.06243343716549732,22084,1.4928549993783236,23.41845703125,21.651517629623413,17.134642839431763,8,234,52,312,larno_ukea/ukea/convlstm/seed_77/metrics/test_metrics.json
